Rating;Title;Username;Date;Review
2;If it wasn't for Pesci, I would have given it a 1.;Aaron13752;52 April 2003;"This is just one movie that I cannot stand. I am not wild about movies that are mainly about kids who get the best of adults, and this definitely fits the bill as one of those movies. What really gets me, is this kid would not have gotten into all the trouble he did if he wasn't such a brat. The family is trying to organize this big trip with all these other relatives, and all the their younger son can do is whine and complain. ""I don't want to sleep with that kid"", ""I have to have my pizza a certain way"", stuff like that...and he is supposed to be the kid we are pulling for? We get to see him left alone and do all the things kids do when they are left alone. Watch black and white old movies. Yes, and this kid is such a wimp that a black and white mobster pick scares him. Though he uses it so wisely later in the movie (yeah right, that would work). This kid somehow outsmarts the two thieves even though earlier one of them is smart enough to impersonate a police officer and check all the security of the houses in the neighborhood. I guess his intelligence went down a notch or two. Then there are the many clever traps that usually consist of someone getting hit in the groin area...ha ha ha! It is always so funny to see someone get hit there and writhe in agony. All in all this is just one bad movie that I did not care for at all. I just wish the kid got into some kind of trouble for all the problems he caused. 22 out of 79 found this helpful. Was this review helpful? Sign in to vote. Permalink"
5;Sickeningly sweet-TO SWEET.;triple83;83 December 2003;"If I had to pick a movie that was a smash that did absolutely nothing for me Home Alone would be at the top of the list. Oh, I'm not saying the movie was awful. But overated yes and after all these years, I still don't get the appeal.  I'm an adult but was fairly young when this came out-and I love all types of movies. This movie's premise bothered me, seeing a kid get terrorized by robbers,even in a comedic sense, was not my cup of tea and I spent most of the movie feeling sorry for the poor kid who got left behind and wishing the movie would end. Yes, Mcauley Culkin was cute-but aside from that, I don't think Home Alone rates more then a 5.5 maybe a 6. I have definetly seen better kid movies, family movies etc. It was hyped so much and so sickeningly sappy, the most I could say about it is that it's a ""cute"" little movie. 12 out of 33 found this helpful. Was this review helpful? Sign in to vote. Permalink"
no rating;lots of fun;Special-K8818;18 March 2002;Rambunctious comedy features Culkin (in a star-making performance) as a troublesome but clever and precocious eight-year-old child whose quarrelsome, dysfunctional family inadvertently leaves him behind after they leave town for the Christmas holiday. He makes the most of his situation by doing all the things he couldn't do without his family's permission, but unexpectedly finds himself defending his Chi-town home from local wet bandits Pesci and Stern. This is able to provide some poignant messages about the importance of family and friendship, but is most likely to be remembered for its hilarious slapstick, goofy bad guys, and a very appealing young star. *** 1 out of 1 found this helpful. Was this review helpful? Sign in to vote. Permalink
8;Oozing with Christmas;Vartiainen8;8 January 2019;A movie that very much came to define the decade it started. Home Alone is a cheesy, lighthearted, popcorny action-comedy-drama. And a really good Christmas movie to boot. Kinda like Die Hard.  We all know the story, I trust. Kid gets left behind during the holidays and then has to defend his house against a couple of bumbling burglars. Traps are involved. Traps to make the Looney Tunes proud.  And it works, it really works. But I would argue that the reason this film has stayed with people and the reason we still watch it, is because the director Chris Columbus injected in so much Christmas spirit that you'll be stuffed to the brim with it. This is a colourful movie with beautiful sets and enough Christmas lights to provide for an international airfield. It has Christmas songs, Christmas classics on TV. It has a great tree, great morals, and it's just to very Christmassy.  At the center of this is Kevin, played by Macaulay Culkin. A wide-eyes, precocious little brat that manages to pull off the almost impossible feat of acting realistically childlike - you know, like a sociopathic, greedy little monster - but still coming off as sympathetic. And sure, in his heart he's a good kid, but the reason we like him is because he's so cheerfully blood hungry. And because he honestly and purely loves Christmas.  Is it an odd movie when you think about it? Yeah, a bit. Is it a bit painful to watch all those traps as an adult with a working knowledge of physics? Yes, oh very much so. Is it still a ton of fun? Absolutely. 1 out of 1 found this helpful. Was this review helpful? Sign in to vote. Permalink
7;Back when Macaulay Culkin was the cutest ever;SnoopyStyle30;30 November 2013;Kevin McCallister (Macaulay Culkin) is the youngest of a large family. They are preparing to go to Paris for Christmas. The power goes out overnight, and none of the clocks work. The family rushes to get on the plane and leave little Kevin behind. The Wet Bandits, Harry Lyme (Joe Pesci) and Marv Merchants (Daniel Stern), come to town to rob the McCallister home only to battle Kevin and his home made traps.  Director Chris Columbus and writer John Hughes team up to create one of the most iconic comedies of its era. It's in no small part due to the iconic scene of Macaulay Culkin slapping his face and Scream. Take it away, it's a rather crass juvenile kiddie movie. I'm not complaining, just explaining. Expect a lot of slapstick stupidity with the annoying Wet Bandits. 3 out of 7 found this helpful. Was this review helpful? Sign in to vote. Permalink
9;A Christmas Classic;MUFCOK8;8 December 2014;"It's that time of year again, the time of year when it is acceptable to binge on Christmas films. The first one I watched this year was Home Alone. It is a classic for me, certainly a child hood favourite!  The story is a very simple one; Kevin McCallister (Macaulay Culkin) is accidentally left at Home over the Christmas as his whole family fly to Paris. They board the plane without realising that they have left one of their Children home alone! Two small time robbers are also in the area, looking to break into houses, they target the McCallister household as they believe they are all away for the Christmas holidays. It is now up to Kevin to protect his house from the burglars by setting up traps and playing pranks, some of which are absolutely brilliant!  The two Robbers; Marv & Harry, played by Daniel Stern & Joe Pesci, give fantastic performances. They portray the classic dumb & dumber routine. Harry thinks he is the brains and sees himself as the leader & Marv plays the really stupid, gullible one who falls for much more simple traps. The on screen chemistry between these two and the relationship they have is fantastic, it comes across very realistic and hilarious.  Macaulay Culkin was 9 or 10 when Home Alone was filmed and given such a big role with this much screen time must have been a big challenge but he walked it and gave a very convincing performance. The Home Alone films are pretty much all he has been known for, which is a shame really, he had a few other films but none are as well-known and successful as these.  Of course this isn't the most realistic films and it does have massive plot holes and ridiculous scenarios, but who cares. It's fun! It's Christmassy & It's got great characters with some truly hilarious moments.  Overall, Home Alone is a very fun movie; I have the relation to it as it was always on at Christmas when I was a child. But even if this isn't the case, I'm sure many adults who are new to this will love it just the same as us who have fond memories of watching it as a child!  8/10 5 out of 8 found this helpful. Was this review helpful? Sign in to vote. Permalink"
9;Nostalgia-proofed holiday classic;MissSimonetta23;23 December 2019;Like many other people of my vintage, HOME ALONE has been a staple of the holidays for as long as I can remember. The story is essentially a kid's fantasy: not just staying home alone and getting to play by one's own rules for a while, but also inflicting comical pain upon very obvious bad guys. The Christmas-y mise en scene and clever use of low camera angles complete this nostalgic, feel-good comedy's sense of festive atmosphere.  As an adult, the contrivances that cause the plot to occur are more apparent, of course. And the slapstick climax is shockingly violent-- it never occurred to me just how brain-damaged or DEAD the Wet Bandits would be. However, none of these things bother me in the least. Maybe it's nostalgia. Maybe the movie's strengths are so potent as to cancel anything else out. I don't know. All I know is the movie still makes me laugh in my 20s as much as it did when I was a child. 1 out of 1 found this helpful. Was this review helpful? Sign in to vote. Permalink
8;Still bubbling and vivacious;fredrikgunerius19;19 August 2023;"Hollywood had been yearning for a new child star since at least Ron Howard when prodigy Macaulay Culkin was launched into superstardom through this bubbling and vivacious film by director Chris Colombus and writer/producer John Hughes. In retrospect, it's difficult not to attribute the film's mega-success to several factors clicking into place at once: One is the clever concept of abandonment of a child, which is every child's combined fear and dream as well as every parent's nightmare. The basic concept was easily identifiable for all members of the family. Another is the film's not insignificant mean-streak; there's a sweet guilty pleasure watching our little hero sticking it to the bad guys. The mind-over-muscle showdown reciprocates Hughes' earlier works, only here it's executed by a kid rather than the nerd or outcast. The satisfaction is largely the same. And the third (and perhaps most important) point is young Culkin's charm and star-power. He didn't have the naturalness of Ricky Schroder or the depth of Elijah Wood, but he had the confidence and force to carry the film seemingly indefatigably on his shoulders. No wonder everyone - both young and old - fell in love with him.  Home Alone still retains its effect today because its best qualities are largely timeless. That goes for John Williams' score, it goes for the well-balanced level of sentimentality, and it goes for the Christmas theme. In addition to that, the film had the perfect combination of warmth and spite (which unfortunately went askew in the follow-up film Home Alone 2: Lost in New York). If ever there was a modern day It's a Wonderful Life, this is it. 2 out of 3 found this helpful. Was this review helpful? Sign in to vote. Permalink"
4;An insult both for a child and adult viewer.;wisewebwoman8;8 February 2004;I had never seen this and got the opportunity recently when the child in my life begged to rent it as she had heard wonderful things about it.  I expected fluff, a simplistic plot and two hours of enduring the smarmy child actor Macauley Culkin. Not too bad a trade off so that the child would enjoy a movie she wanted to see.  Oh dear. Halfway through it I looked at her and said what would you rate this one out of 10? 5, was the response. We are expected to believe that an 8 year old who cannot tie his own shoelaces comes up with incredible booby traps for some burglars who want to rob the house (rigging lines between trees, heating up door knobs to name very few out of many). One with a master's in engineering would not be able to figure out most of them.  But the very worst features were these dim-bulb parents who sit in first class while their children go unsupervised in economy on a flight to Paris (9 hours, people!)who cannot fire up a brain cell between them in Paris to get the police, Children's Aid, emergency services (they never have friends and relatives in Hollywoodland)to go to the house and get the child.  How hard is it to count your children when you have only three??? The child has not been streetproofed and does not know to call 911 either. And on and on.  It is one of the most appalling movies I have ever seen. At the end the child and I agreed, 4 out of 10.  The old man (Roberts Blossom) was sweet and Catherine O'Hara, whom I normally admire, is right up there with horror moms of all time. 19 out of 59 found this helpful. Was this review helpful? Sign in to vote. Permalink
8;Classic Huge Comedy for kids...!!;kamalbeeee16;16 May 2021;A boy stay alone in his home after his parents went to out of station..sanetime 2 burglars came to house for steal something in house.. Fight between a boy and those thieves is rest of the movie..!!  Must watch for comedy movie lovers..!! 1 out of 1 found this helpful. Was this review helpful? Sign in to vote. Permalink
5;Why Daniel Stern preferred this one to the sequel.;lee_eisenberg16;16 January 2006;"When I heard Daniel Stern speak at Lewis & Clark College in September, 2004, about his USO tour in Iraq, he said that while ""Home Alone"" had a bunch of silly gags, at least it only had them once; the sequel just repeated everything. When you think about it, that makes sense. This movie was funny the first time (I certainly loved it when I saw it in the theaters), but not much after that.  I gotta ask: what happened to John Hughes? In the '80s, he made movies like ""The Breakfast Club"", ""Ferris Bueller's Day Off"", and ""Planes, Trains & Automobiles""; in the '90s, he got into dropping things on people's heads (think ""Home Alone"" and ""Baby's Day Out""). Oh well, life goes on. And for the record, Daniel Stern also said that when he was in Iraq, some Iraqi children recognized him from this movie; that made him understand the reach of American culture. 8 out of 28 found this helpful. Was this review helpful? Sign in to vote. Permalink"
9;Home Alone is probably the best American New Year's film;eva3si0n24;24 January 2021;Home Alone is probably the best American New Year's film. Yes, he is childish, and he has a simple plot and jokes. But it has already become a classic mandatory for viewing on New Year's holidays. A great story, served as a childhood adventure. 2 out of 3 found this helpful. Was this review helpful? Sign in to vote. Permalink
2;Classic? Not for me.;studioAT8;8 December 2015;Home Alone is one of those Christmas films that pop up every year. It's many people's favourite modern Christmas film too. I just didn't like it.  It couldn't cope with the overly sentimental subplot about the neighbour, the cartoon humour was too dark for my liking and as ever I found Macaulay Culkin annoying.  It has its moments, don't get me wrong, but would I rate this as the best Christmas film of all time as others have- no! So good luck to you if you're dusting off the DVD and enjoying it with nostalgia. I'll instead watch 'The Santa Clause', a real modern classic. 11 out of 43 found this helpful. Was this review helpful? Sign in to vote. Permalink
9;A John Hughes classic!;gccuconati22;22 December 2023;"Home Alone is renowned as one of the best movies John Hughes has ever written/produced, alongside The Breakfast Club, Ferris Bueller's Day Off, and many others. And I couldn't agree more with that!  The movie centers on 8-year-old Kevin McCallister (played by Macaulay Culkin), who lives in Chicago. Kevin's massive family is planning a family trip to Paris for Christmas. Unfortunately, Kevin feels ignored and unloved by his family. And the night before the plane ride, after ruining dinner when his mean older brother, Buzz (Devin Ratray), goads Kevin into a fight by eating a cheese pizza reserved for him, and Kevin ends up being exiled to the attic by his mom, Kate (Catherine O'Hara), while Buzz gets off scot-free, an indignant Kevin hopes that he never sees his family again. Sure enough, that night, a winter storm sweeps the neighborhood, knocking out the McCallisters' power, and resetting the alarm clocks. The next morning, this leads to the McCallisters rushing chaotically to get ready, and in the ruckus, Kevin is left at home by mistake. Kevin believes that he made his family disappear, and enjoys himself at first, but begins to miss his family. To make matters worse, two burglars, Harry (Joe Pesci) and Marv (Daniel Stern), the ""Wet Bandits"", are scheming to rob the McCallister residence. So, while Kate frantically struggles to book the family a flight home, Kevin must defend his home from Harry and Marv's burglary.  All the characters are brilliantly written! Our hero, Kevin, is a very likable and relatable protagonist. I mean, right from the pizza scene, he lets us know how it feels to be ignored and unloved by family. Harry and Marv are great comedic villains! As for Old Man Marley (Roberts Blossom), the old man about who Buzz lied to Kevin, saying he was a murderer, (possible spoiler) when he finally speaks to Kevin, he's revealed to really be a kind-hearted old man, and a really good example of ""Don't judge a book by its cover."" (end possible spoiler) The only two unlikeable characters in the movie are Buzz and Kevin's rude uncle Frank (Gerry Bamman), who are both jerks. Although, Uncle Frank does get one of the best lines in the movie: ""LOOK WHATCHA DID, YA LITTLE JERK!!!"" HA!  The acting is tremendous. Macaulay Culkin is especially charming as Kevin. Nine years old, and already a real talent! Catherine O'Hara and John Heard (may he rest in peace) are praiseworthy as Kate and Kevin's father, Peter, respectively. Joe Pesci and Daniel Stern are hilarious as Harry and Marv!  Speaking of, the movie is packed from start to finish with delicious comedy! Those include Kevin watching a fake gangster movie called Angels With Filthy Souls (""Keep the change, ya filthy animal!"") and later using that to trick the pizza boy, or burning himself with aftershave TWICE. But the comic highlight of this movie is the booby traps that Kevin puts Harry and Marv through when they try to rob his house! From the paint cans to the face, to Harry literally STANDING THERE as a blowtorch burns his head, to Marv letting out a PRICELESS scream when Kevin puts Buzz's tarantula on his face... you name it! This movie's humor knows no boundaries! But of course, it's John Hughes, what did we expect? The movie, of course, is also heartwarming at times, like when Old Man Marley's true self is revealed, and of course, the ending.  And, finally, the music! John Williams, the genius behind the scores of almost all of Steven Spielberg's movies, delivered a truly GORGEOUS score for this movie, special mention going to his mystical main theme. And don't get me started on the beautiful song that he composed, ""Somewhere in my Memory."" I actually sang along to that as I was watching this movie tonight.  All in all, Home Alone is one of the greatest movies John Hughes has ever made, and in my opinion, a must-see for anybody who loves comedy movies like me. Especially at Christmastime!!!  Oh, and by the way... ""KEVIN!!!! WHAT DID YOU DO TO MY ROOM?!?!?!?!"" 2 out of 2 found this helpful. Was this review helpful? Sign in to vote. Permalink"
no rating;Child Abuse;inspectors7121;21 December 2005;This megahit that made Macaulay Culkin a household name--and still causes me to wince when I'm in the presence of gallon paint cans--is a tightly plotted and very funny tribute to upper middle class child abuse. Chris Columbus helms this ruthlessly crafty comedy, and from the moment the house lights go down, it's pedal to the metal.  What makes this movie ultimately work is the room-temperature-IQ criminals Joe Pesci and Daniel Stern. They're so good you stop listening to the little voice in your head that keeps saying that Culkin's character, Kevin, is the victim of child abuse and neglect.  If you don't stop listening to that voice, you'll probably leave the movie with a damp face from laughing so hard and a sour taste in your mouth.  Home Alone is a giant, cruel joke. But it is funny. I'd suggest some mouth wash as the end credits are rolling. 2 out of 3 found this helpful. Was this review helpful? Sign in to vote. Permalink
6;Fluffy Holiday Mayhem With a Warm Heart;drqshadow-reviews26;26 December 2012;"Basically a live-action Wile E. Coyote / Roadrunner Christmas, with a few humanist subplots thrown in for good measure. John Hughes comedies have often struggled to indulge the author's wackier side without stumbling too far into the realm of slapstick, and Home Alone never really finds that balance. There's a lot of effective material here - the sweet old neighbor's redemption story; Kevin's first steps toward independence; his mother's frantic, airport-skipping quest to get home - but those deeper themes feel too scattered, obvious second (or third) fiddles to the more bombastic third-act fireworks.  The production also feels loose and cheap, rife with overdone performances, blunt direction and easy, convenient physical gags. Macaulay Culkin's acting in the lead is borderline unbearable, and the cache of gimmicks and booby traps that fuel his story often asks far too much of the audience. As I mentioned above, growth is a major part of his character arc, but right from the start, most of his word choices and the breadth of his worldly knowledge seems highly suspect for the pampered youngest son of a large, well-off suburban family. Joe Pesci and Daniel Stern pick up some slack as a duo of over-amplified burglar stereotypes, played with a wink and a nudge at just the right moments, and Catherine O'Hara shines in a rare straight role as the flustered mother an ocean away from her youngest child.  Straightforward and light for the majority of its run time, the film works best when it remembers to pluck the heartstrings with a few season-specific character moments and subplots. Still, it's all too detached from reality, with a strange habit of glorifying and celebrating its frequent scenes of grisly, wince-inducing violence. 3 out of 6 found this helpful. Was this review helpful? Sign in to vote. Permalink"
7;Really Wanted to Give an 8;michaeltrivedi9;9 December 2019;Incredible movie. Best in class. Christmas movies at their very best. Culkin is great. The antics he pulls are a must see. Storyline goes by in a flash but so fun.  Must see!!!  7 stars 2 out of 3 found this helpful. Was this review helpful? Sign in to vote. Permalink
7;"""You guys give up, or are ya thirsty for more?""";Hey_Sweden6;6 December 2011;"Eight year old Kevin McCallister (Macaulay Culkin, in his appealing break through lead performance) is frustrated enough with his family to ""wish them away"". And he gets this wish, sort of, when the entire family - parents, siblings, aunt & uncle & cousins included - is in such a rush to get to the airport in time for a trip to Paris that they leave him behind. At first, he has great fun with his temporary freedom and independence, but will eventually have to save his house from being burgled by a bumbling pair of oafs, Harry and Marv, played by Joe Pesci and Daniel Stern. This he does by staging an elaborate series of booby traps.  ""Home Alone"" is a pretty charming little family comedy that does have quite a bit of heart to go along with all of the farce and slapstick. This material is indeed pretty funny, with Pesci and Stern playing their slow witted lowlife criminals for all that they're worth; some of their facial expressions and reactions are just hysterical. Some of it may be a bit much, and may not jibe that well with the more serious portions of the movie, but it's doubtful many kids watching are going to care that much.  It does, in the end, make a very good case for the need for family, how we're perfectly capable of taking our loved ones for granted, how to deal with one's fears and do some growing up, and in the case of Old Man Marley (the excellent veteran Roberts Blossom), how it's never too late to mend relationships. The wonderful scene between Culkin and Blossom in the church where they make a connection is indeed the best moment in the entire picture. Kevin's been administered (erroneous) warnings about the old man's supposedly sordid past, and is understandably afraid of him, and realizes how one shouldn't be too quick to believe that sort of thing.  Lovely funny woman Catherine O'Hara also does extremely well in the role of the mother willing to do anything that's humanly possible in order to atone for what she feels is an unforgivably stupid mistake. It's truly a treat to see her reunited with 'SCTV' co-star John Candy, who's as engaging as ever in his cameo role as polka star Gus Polinski. John Williams supplies an expectantly catchy score and touching song (both Oscar nominated, with song lyrics by Leslie Bricusse).  Good fun overall, with a bright wrap- up, it's not surprising that the movie would have been such an enormous hit over 20 years ago, and it continues to entertain today.  Seven out of 10. 2 out of 4 found this helpful. Was this review helpful? Sign in to vote. Permalink"
10;Every 90s kid most watched movie;snigdhajahanesheta6;6 January 2021;Whenever I watch this movie I go back to my childhood :') 5 out of 6 found this helpful. Was this review helpful? Sign in to vote. Permalink
8;Just for Fun;Hitchcoc2;2 January 2015;My response to this movie is strictly prejudiced. For all it violence and lack of verisimilitude, I get a kick out it ever time I see it. If one can't get past the fact that the Wile E. Coyote element is in here (where no one ever seems to get hurt, no matter what), you aren't going to have much fun. With that caveat, the movie is a bit of a hoot. McCauley Culkin came to stardom in this (it's too bad his life became unsettled after this). Watching Joe Pesci and Daniel Stern, the ever optimistic though doomed villains, continue to fight a losing cause against an eight year old is the stuff cartoons are made of. Their mugging as they try one thing after another, only to be thwarted, is great fun. The subplot of the mother hooking up with a polka band, led by the inimitable John Candy, adds an element of joy. There is also the relationship that grows with a frightening man next door who has been tabbed a murderer by the insensitivity of the neighborhood kids. This man is estranged from his son and has lapsed into a sad existence. This raises this up from just a kid movie to one with a bit more substance. Anyway, don't take it to seriously and one may have a bit of fun at the holidays. 3 out of 8 found this helpful. Was this review helpful? Sign in to vote. Permalink
10;Be Careful what you wish for, you just might get it!;Sylviastel4;4 June 2017;I don't know why I avoided this film. It's a John Hughes classic film in his style of American suburbia. Macaulay Culkin has the startling role as Kevin McAllister in suburban Chicago town in a beautiful home. He plays the child precociously and with vulnerability at eight years old. After he is banished to the attic, he is forgotten the next day after his parents fly to Paris, France for a family holiday. There were fifteen in all. The scene where they are racing to the plane would be unrealistic today. Kevin believes his family left him alone. With two burglars played by Daniel Stern and Joe Pesci, Kevin learns of their plot to burglarize his home as the silver tuna. Kevin's mother realized that she forgot him at home. Worried and desperate, she would do anything to reunite with them. There are noticeable Chicago actors like Ann Whitney and Alan Wilder in minor roles. Of course, there is John Candy in a small role as well. The cast did an excellent job with their roles. The film wasn't expected to be such a hit at the box office. You can watch this film repeatedly and still enjoy it like other John Hughes films. 3 out of 7 found this helpful. Was this review helpful? Sign in to vote. Permalink
10;What can I say?;adhaddadinrockz15;15 December 2019;A masterpiece. I adore this movie and I adore this movie and I adore it and that's it. 6 out of 8 found this helpful. Was this review helpful? Sign in to vote. Permalink
8;Only in the 90s;Hollywood_Yoda2;2 October 2018;"I guess back in 1990, if you left your eight year old son home alone for almost a week, children services wouldn't get involved. My, how times have changed. Now, you leave your kid alone for five minutes and children services and the media grill you on the five o'clock news! However, Home Alone had a good premise I suppose; a boy defending his home against burglars over Christmas break.  What could possibly go wrong? Almost everything that could possibly happen, that's what! MacCaulay Culkin plays Kevin McAllister, who gets left home alone. That's when the antics start. Chris Columbus did a great job directing the film from a story by John Hughes.  Joe Pesci and Daniel Stern costar as the bad guys who call themselves the 'wet bandits'; a duo who bumble and burglarize. In the end though, good wins out over evil. And Kevin is reuinted with his family. 1 out of 1 found this helpful. Was this review helpful? Sign in to vote. Permalink"
5;"""Maybe the kid will let us in."" .. ""He's a kid. Kids are stupid.""";moonspinner5519;19 July 2015;"""Home Alone"", directed by Chris Columbus from a screenplay by '80s golden boy John Hughes, has pleased millions of people, and is a not-unintentional holiday perennial as well, taking place as it does during the Christmas season. It is a film that operates at a level at which any sort of professional criticism is no longer helpful. Youngster is (improbably) left behind after his large family packs up and leaves for the airport to vacation in Paris; he fends off two inept burglars while mom makes her way back home. Macaulay Culkin plays the main character, Kevin, but there really is no character; Culkin succeeds in the role strictly by playing up his inherent precociousness--most often directly to the camera--while we admire his spunk and resourcefulness (both unrealistic for easy laughs). The picture looks immaculate, sparkly and shined to a fare-thee-well. Often times, just the reassurance that what we're watching is a big, expensive bauble made solely for our enjoyment is enough to keep the masses happy. The holiday trimmings trigger nostalgia in adults and joy for children, while the thieves (Joe Pesci and Daniel Stern, both over-the-top) aren't scary, mean or nasty--just lovable, irascible losers who can't topple our pint-sized hero no matter how hard they try...and oh how the audience wants them to keep trying! Followed by two sequels in 1992 and 1997. ** from **** 5 out of 16 found this helpful. Was this review helpful? Sign in to vote. Permalink"
10;Will live forever;naomimuldrew278;78 December 2020;30 years on and its still one of the best Christmas movies out there. Lots of laughs but plenty of life lessons too. Just fab! 4 out of 6 found this helpful. Was this review helpful? Sign in to vote. Permalink
8;Classic;ThunderKing631;31 March 2019;A classic feel good movie.  The kid held the house down.  I just hate seeing this movie during the pagan winter solstice season. EVERY bloody year this show is on TV. Should give it a 3 for the over done replay. Its replay makes me dislike the movie. 2 out of 4 found this helpful. Was this review helpful? Sign in to vote. Permalink
10;Very Funny!;g-bodyl8;8 July 2008;Home Alone is a very funny Christmas classic of the early 1990's. I thought that this film would be good, but it's much better than that. The story is about a young child whose family leaves him at home when they all go to Paris. Two dim-witted burglars realize that as well. They planned on robbing the house with no one in their way. Little did they know that Kevin would be the hero of the household. The acting in this film is good especially the robbers played by Joe Pesci and Daniel Stern. They were the funniest part of the film. I also like the music in this film then again I always liked John Williams' music. The only thing a little wrong is the violence. A PG-13 rating would have been more suitable. Otherwise, this is perfect. I rate this film a 10/10. 3 out of 7 found this helpful. Was this review helpful? Sign in to vote. Permalink
4;Does It Deserve Its Popularity?;ReelCheese11;11 August 2006;"Everybody tries hard, but ""Home Alone"" doesn't work nearly as well as its popularity suggests. Macaulay Culkin became a household name starring as Kevin McCallister, a precocious eight-year-old accidentally left behind when his family heads out on a holiday vacation. If fending for himself weren't enough, Kevin must also contend with two bumbling burglars (Joe Pesci and Daniel Stern), who have targeted the family home.  I first saw ""Home Alone"" when I was 10 years old. I didn't find it at all funny then, and its genius still eludes me. The alleged ""humor"" that everyone seems to love stems mainly from a series of violent booby traps Kevin sets up to stop the bad guys. Among the deterrents the burglars so wittingly fall for is a red-hot doorknob. Looks painful, but hardly funny. The film tries to handle such physical abuse like an old Road Runner cartoon, but when the action involves real people instead of an animated coyote, something is lost.  Yet ""Home Alone"" isn't a total disaster. The performances are great and the story is at times quite charming, particularly the subplot involving the supposedly scary old neighborhood man. Interestingly, the sequel -- ""Home Alone 2: Lost in New York"" -- marked a notable improvement. 17 out of 47 found this helpful. Was this review helpful? Sign in to vote. Permalink"
10;10/10;critony28;28 December 2019;Well watching this movie can't stop laughting one of the best commedy ever made :D 5 out of 7 found this helpful. Was this review helpful? Sign in to vote. Permalink
10;Christmas vibes;valeviciutea15;15 December 2019;This film is a very funny story about a boy which was left in the house alone. This movie is for a family. I liked it so much!! Watched it 10 or more times but everytime it is interesting. Watch it on christmas time!!! 6 out of 8 found this helpful. Was this review helpful? Sign in to vote. Permalink
10;Home Alone: A Christmas Classic!;BrnzReviews22;22 April 2021;Home alone where do I begin? This is my childhood Christmas movie right in front of die hard. This movie is amazing from hilarious moments to other emotional times if you by some chance of bad luck haven't seen this I recommend you do!  The thought of forgetting your child going on holiday should be dreadful bit this family classic makes you forget the bad and be just wowed at the great story go on watch it:) 2 out of 3 found this helpful. Was this review helpful? Sign in to vote. Permalink
7;Movie is only watchable when Kevins family aren't onscreen;bigwhiskers-1217011;11 December 2022;I can only watch this movie if I fast forward past the scenes with Kevins family. His parents are ignorant uncaring people as are his cousins who are the ugliest meanest kids ever. His Uncle is a lowly POS mooching ahole as is his bullying foul mouthed toad of an older brother. I hated all of them and wished the plane the were on would crash . There is one scene where the POS Uncle tells his wife to steal the silverware they are given on the plane .  I mean what a scumbag.  The best parts of the movie are when Kevin and the 2 bumbling crooks Marv and Harry are onscreen. There's also a scene with the older neighbor in a church that is really tender and heartfelt. Even after the family returns at the end of the movie, they still show little concern or sympathy for Kevin after leaving him alone- they are selfish mean spirited people who just walk away and leave Kevin by himself again . 7/10 - I take away 3 stars for the awful family . 2 out of 2 found this helpful. Was this review helpful? Sign in to vote. Permalink
10;KEEEEVIIIINNNNNNN!!!!!;frosty-4443110;10 February 2021;Every 90's child has watched this. And if you haven't you had no childhood. 2 out of 3 found this helpful. Was this review helpful? Sign in to vote. Permalink
no rating;Fantastic Fun-Filled Film;Big;17 November 2002;If you don't like Home Alone then you're either a robot or a zombie. Home Alone was one of the best comedies of 1990.  Macauley Culkin plays Kevin McAllister who as the title suggests, is left home alone when his family goes on a trip. At first, he enjoys life as he gets the run of the house but soon starts to miss his family. Then things get worse as two bumbling burglars played by Daniel Sterns and Joe Pesci target his house...  Although I was an adult when I watched this film, I could still see why Kevin McAllister appealed to kids around the world. What child hasn't wished they could spend some time alone in their house free to stay up and do what they want? There are some fun scenes throughout especially one when the pizza delivery man comes calling.  The burglars are very well played by Daniel Sterns and Joe Pesci (both as clumsy as each other). At first, Kevin fools them making them believe he is not home alone but they soon become wise to his act and break in...that is when the fun starts as Kevin uses dozens of household items to fight them. Everything from irons (which he uses to hit their heads) to christmas decorations with sharp ends which Daniel Sterns steps on.  It's hard not to thoroughly enjoy a film like this, especially as it appeals to all of us (adults and children) who have wished we could just have the house to ourself and do what we please. This is a great film which I thoroughly recommend and it was followed by two great sequels. 3 out of 6 found this helpful. Was this review helpful? Sign in to vote. Permalink
